time,position_x,velocity_x,position_y,velocity_y,angular_velocity_z
1498.25,-0.2505443466947258,-0.42679811869667184,0.0358797809405245,0.0,-0.34267353679895496
1498.35,-0.2905676446067245,-0.41219389934464756,0.04720558773054126,0.0,-0.3321932365387918
1498.45,-0.32596095621919835,-0.37299076057881975,0.05889895275865944,0.0,-0.3492012427791181
1498.55,-0.36120672432418616,-0.38749153179013685,0.07185627759396042,0.0,-0.3577683925090962
1498.65,-0.4006636132464165,-0.44135847300096215,0.08742679668528808,0.0,-0.3316672515301066
1498.75,-0.4428344129864301,-0.46256922616113544,0.10537082495506347,0.0,-0.29749650778166276
1498.85,-0.48053504677823605,-0.4064967505600366,0.12337759146946056,0.0,-0.3116610165190174
1498.95,-0.512312538181597,-0.3542583126124999,0.14028426305773967,0.0,-0.34583735646197844
1499.05,-0.5416063085030649,-0.34131029357364984,0.15713191313041666,0.0,-0.365314558504115
1499.15,-0.5710680569433992,-0.34937665217267505,0.17525044660759734,0.0,-0.3631413405040468
1499.25,-0.5990376088052676,-0.3360348432189583,0.19401915512650977,0.0,-0.3692306515056723
1499.35,-0.6247410184846699,-0.3120727621261847,0.21289880536443256,0.0,-0.38484951811721074
1499.45,-0.6457035372952499,-0.25835822217290677,0.22972836784054732,0.0,-0.3987682117334793
1499.55,-0.6630677301270539,-0.22549393721756714,0.24487572955853532,0.0,-0.4112722730093171
1499.65,-0.6788114686825821,-0.21475023482300704,0.25973237230351837,0.0,-0.4187769805743812
1499.75,-0.6938081320091287,-0.2146885468008755,0.2750513155834875,0.0,-0.4205495238567283
1499.85,-0.710287083887971,-0.25449379392021765,0.2931740476099795,0.0,-0.41497347663610895
1499.95,-0.7274241917529589,-0.26854709436533686,0.31369975205695294,0.0,-0.4091181418778525
1500.05,-0.7444985491628219,-0.28978828754741615,0.33614284347758466,0.0,-0.41844243577536727
1500.15,-0.7640153393996766,-0.3599456931843699,0.36355792822195165,0.0,-0.39788297189923005
1500.25,-0.7880498920150953,-0.444665281246532,0.39913227210371527,0.0,-0.3367861789144464
